time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
1429,0.0064124595,0.99987483,-0.014458401,-0.9905036,0.00833679,0.13723387,0.13733724,0.013441092,0.99043304,0.010113552,-0.021171913,0.022526897,-0.13766831,-0.014597024,-1.5623798,1505.0192,976.79645,1505.0192,722.82355
1477,0.0029403446,0.9999031,-0.013609553,-0.9904056,0.0047921785,0.13810733,0.13815914,0.013072897,0.99032366,0.011892103,-0.02314388,0.024780847,-0.13855018,-0.0137416655,-1.5659578,1505.1448,976.758,1505.1448,722.84467
1506,0.0005042711,0.9999409,-0.010866831,-0.990735,0.0019753731,0.13579458,0.135808,0.010697674,0.99067736,0.013228241,-0.02502376,0.0283028,-0.13621543,-0.010968652,-1.5688025,1505.055,976.76227,1505.055,722.8311
1529,0.0031181746,0.9999713,-0.0069014756,-0.9912882,0.003999704,0.13164988,0.13167371,0.0064308443,0.9912722,0.0146855675,-0.024362078,0.02539863,-0.13203317,-0.006962128,-1.5667615,1505.0955,976.70123,1505.0955,722.8579
1561,0.0035332039,0.9999742,-0.0062549203,-0.9911218,0.004333141,0.1328863,0.13290997,0.005729873,0.99111146,0.01579893,-0.024515908,0.025554575,-0.13328055,-0.0063109323,-1.5664244,1505.0955,976.64484,1505.0955,722.9503
1595,0.00682233,0.9999683,-0.004112124,-0.9909404,0.007312204,0.13410328,0.13412909,0.0031599733,0.9909587,0.016808959,-0.025342133,0.028063389,-0.13450852,-0.0041496186,-1.5634174,1505.1627,976.70447,1505.1627,722.9818
1628,0.011856412,0.999929,0.0012131763,-0.9912788,0.011594581,0.13127004,0.13124663,-0.0027589845,0.9913458,0.016194101,-0.023180991,0.022485204,-0.13165,0.0012237664,-1.5591003,1505.0281,976.695,1505.0281,722.9121
1661,0.012129552,0.9999192,0.003806756,-0.9920172,0.01155564,0.1255715,0.12551737,-0.0052994955,0.99207723,0.01719153,-0.023601795,0.02437878,-0.12590387,0.0038371382,-1.5591482,1505.091,976.6719,1505.091,722.92865
1695,0.013422067,0.9998932,0.005767016,-0.9921672,0.012601559,0.12427956,0.12419361,-0.0073899324,0.9922304,0.018258302,-0.024362478,0.026804563,-0.12460173,0.005812109,-1.5580959,1505.1089,976.69684,1505.1089,722.9527
1728,0.017482264,0.99981266,0.0083142305,-0.99184346,0.016291667,0.12641667,0.12625751,-0.0104564605,0.9919423,0.012345802,-0.016448604,0.012254188,-0.12675583,0.008381573,-1.5543722,1505.0686,976.74164,1505.0686,722.95856
1761,0.019940112,0.99975157,0.009955922,-0.9921722,0.018559186,0.12348963,0.12327418,-0.012340387,0.99229586,0.012254419,-0.016004395,0.01149751,-0.12380567,0.010032883,-1.5520929,1505.055,976.7619,1505.055,722.91455
1795,0.021111703,0.99970496,0.0120046055,-0.9918476,0.019433476,0.12593907,0.12566862,-0.014565527,0.99196523,0.01291576,-0.01665609,0.0115361605,-0.12627438,0.01210125,-1.5512056,1505.1807,976.74695,1505.1807,722.9392
1828,0.018207159,0.99970514,0.016060358,-0.991317,0.015957542,0.1305219,0.13022713,-0.018297337,0.99131525,0.013608608,-0.018064488,0.010088863,-0.13089536,0.016199643,-1.5547004,1505.0596,976.75323,1505.0596,722.9232
1862,0.019337071,0.9996044,0.02041921,-0.9914056,0.016527522,0.1297749,0.12938608,-0.022753187,0.99133307,0.014391087,-0.019317538,0.0095628295,-0.13014196,0.020594817,-1.5541271,1505.073,976.76373,1505.073,722.91425
1895,0.02272733,0.99944854,0.024204908,-0.9906119,0.019248657,0.13534144,0.13480088,-0.027053624,0.99050313,0.015144341,-0.020475684,0.008670259,-0.13575806,0.02443212,-1.5513676,1505.2211,976.7557,1505.2211,722.92896
1929,0.022208814,0.9993745,0.027522385,-0.99028486,0.018210331,0.13785563,0.13726819,-0.030316615,0.9900698,0.015969425,-0.022241266,0.008233603,-0.13829605,0.027791271,-1.5524094,1505.1045,976.76776,1505.1045,722.9367
1962,0.024195254,0.999257,0.029998515,-0.9906001,0.019922888,0.13533123,0.134633,-0.03299091,0.9903461,0.01714256,-0.023278126,0.008131741,-0.13574776,0.030281682,-1.5506871,1505.0686,976.7771,1505.0686,722.906
1995,0.02624827,0.9991364,0.032210056,-0.9906832,0.021691889,0.13444766,0.13363282,-0.035438977,0.9903969,0.01848723,-0.024222871,0.008017998,-0.13485605,0.03251091,-1.548904,1505.1134,976.774,1505.1134,722.926
2028,0.02510334,0.99924415,0.029678553,-0.9909113,0.020947479,0.13287517,0.13215305,-0.032744426,0.9906882,0.016806548,-0.022598151,0.0051893257,-0.13326931,0.029948555,-1.5496598,1505.1045,976.74524,1505.1045,722.9095
2061,0.025283562,0.99917823,0.0316807,-0.9911258,0.020917622,0.1312711,0.13050051,-0.034718566,0.9908402,0.018049963,-0.02308976,0.0047633867,-0.13165106,0.03196268,-1.5496945,1505.1089,976.7598,1505.1089,722.9137
2095,0.026807522,0.9991145,0.03242586,-0.99145293,0.022430824,0.12852196,0.1276808,-0.035594076,0.9911763,0.019502323,-0.023806818,0.004653366,-0.12887844,0.032702863,-1.548176,1505.0461,976.7538,1505.0461,722.99646
2129,0.024489846,0.9992657,0.029466119,-0.9912709,0.020453295,0.13024442,0.12954608,-0.03239857,0.9910438,0.018707566,-0.023555772,0.0023608669,-0.13061549,0.029723652,-1.5501659,1505.1224,976.7732,1505.1224,722.9817
2162,0.024380289,0.99919194,0.03195265,-0.9913944,0.020053165,0.12936403,0.12861873,-0.034831617,0.99108213,0.02010499,-0.024346301,0.0015870035,-0.12972759,0.032229,-1.5505718,1505.055,976.787,1505.055,722.9875
2196,0.024950061,0.99907655,0.03497914,-0.99135077,0.02021713,0.12967183,0.12884489,-0.037911918,0.99093974,0.021857657,-0.025120206,0.00078710844,-0.13003801,0.035284307,-1.5504056,1505.1448,976.8262,1505.1448,722.9719
2229,0.02373591,0.99908125,0.035683185,-0.9911213,0.01884594,0.13161798,0.13082455,-0.03849044,0.99065804,0.021293614,-0.024831641,-0.0004962473,-0.13200098,0.036004115,-1.5517838,1505.1224,976.8544,1505.1224,723.0238
2262,0.02619332,0.9990125,0.035889804,-0.9912095,0.021297738,0.13057645,0.12968312,-0.03899454,0.9907884,0.022686508,-0.025150975,-0.0010437155,-0.13095038,0.03620765,-1.5493131,1505.0461,976.81213,1505.0461,723.0161
2295,0.02618891,0.99894917,0.037612535,-0.9915539,0.021177294,0.12795417,0.12702318,-0.040645838,0.9910666,0.024631813,-0.02554851,-0.0015749196,-0.12830591,0.03793337,-1.5494419,1505.0955,976.85645,1505.0955,722.9793
2329,0.02329485,0.99902606,0.037472233,-0.99168485,0.018345974,0.12737548,0.12656397,-0.040127844,0.9911464,0.023833659,-0.025245307,-0.001731981,-0.12772246,0.037788965,-1.5522987,1505.082,976.8216,1505.082,723.0938
