time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
0,0.17468031,0.9611786,0.2135937,-0.92682534,0.08728041,0.36520776,0.3323874,-0.26175871,0.90609086,-0.025201416,-0.016561568,-0.014207236,-0.37385598,0.23150459,-1.4769019,1505.6431,976.22864,1505.6431,724.55176
37,0.17355718,0.9616537,0.21236788,-0.927086,0.08678763,0.36466342,0.33224908,-0.26017323,0.9065983,-0.024892906,-0.016304215,-0.014114166,-0.37327132,0.23009819,-1.477455,1505.6431,976.2628,1505.6431,724.56616
74,0.17193253,0.9612131,0.21565875,-0.92823863,0.08477149,0.36219707,0.32986683,-0.26245627,0.90681016,-0.024507482,-0.01618283,-0.014156878,-0.37062395,0.23348391,-1.4797238,1505.5488,976.2093,1505.5488,724.5357
112,0.16994834,0.96071523,0.21941742,-0.92942506,0.08225535,0.35972655,0.32754645,-0.265067,0.9068918,-0.024145467,-0.016136337,-0.014296716,-0.36797482,0.2373827,-1.482525,1505.7417,976.21893,1505.7417,724.52155
1436,0.045602173,0.99859464,-0.027004905,-0.9749606,0.05038026,0.21659489,0.21765101,0.016451525,0.97588795,-0.008226655,-0.006750919,-0.07606352,-0.2183252,-0.027665077,-1.5191681,1505.0865,976.4651,1505.0865,724.2454
1498,0.04495641,0.99856925,-0.028955804,-0.97491366,0.05017957,0.21685298,0.21799569,0.018480485,0.97577477,-0.0084659215,-0.008537486,-0.080901906,-0.21858957,-0.029665975,-1.5193709,1505.0371,976.4823,1505.0371,724.27185
1535,0.043987554,0.9985495,-0.031047856,-0.97489697,0.04969404,0.21703972,0.21826778,0.020721415,0.9756689,-0.007891525,-0.009226206,-0.08513,-0.21878088,-0.03181139,-1.5198668,1505.0281,976.4738,1505.0281,724.2736
1568,0.042475704,0.998558,-0.032830484,-0.97490686,0.048612062,0.21724021,0.21852288,0.022779234,0.9755659,-0.0069868173,-0.009599293,-0.08924767,-0.21898627,-0.033640064,-1.5209743,1505.0103,976.52936,1505.0103,724.30115
1604,0.04078896,0.9985848,-0.034127653,-0.97505796,0.04723955,0.21686481,0.21817006,0.024430739,0.97560483,-0.005894169,-0.009873232,-0.09339106,-0.2186017,-0.034966763,-1.5223862,1505.0596,976.572,1505.0596,724.3155
1639,0.038853806,0.9986181,-0.035387296,-0.97541636,0.045591217,0.21560192,0.21691734,0.026140397,0.9758399,-0.0046370476,-0.010134035,-0.0975719,-0.21730821,-0.03624754,-1.52409,1505.0056,976.5414,1505.0056,724.2976
1672,0.034020595,0.99870545,-0.037813902,-0.97407085,0.04160157,0.22238478,0.22367,0.029267756,0.9742253,-0.0062703104,-0.010787299,-0.10497638,-0.22425982,-0.038794857,-1.5281132,1505.0281,976.5891,1505.0281,724.2565
1705,0.030760435,0.99874544,-0.03951317,-0.97455347,0.038750008,0.22077952,0.2220337,0.03171642,0.9745229,-0.005708553,-0.011201792,-0.11045528,-0.22261365,-0.040523972,-1.5310555,1505.0056,976.59235,1505.0056,724.2348
1739,0.027581258,0.99880785,-0.04027742,-0.97507423,0.035756286,0.21897832,0.22015741,0.033233773,0.97489804,-0.004375161,-0.0115550915,-0.11543381,-0.22076724,-0.041291013,-1.5341424,1505.0281,976.5476,1505.0281,724.243
1771,0.025084682,0.9988697,-0.040372413,-0.9756427,0.033265185,0.21682872,0.21792665,0.03394997,0.97537446,-0.0027288534,-0.011901477,-0.120373376,-0.21856472,-0.041368093,-1.5367138,1505.0281,976.5439,1505.0281,724.2833
1805,0.022794288,0.9989324,-0.04017988,-0.9762089,0.030908294,0.21461758,0.21563034,0.034331907,0.97587144,-0.0008777115,-0.012283805,-0.12544641,-0.21630026,-0.04115009,-1.5391454,1505.0192,976.5293,1505.0192,724.2468
1843,0.016439594,0.9991016,-0.03906045,-0.975381,0.024616988,0.21914758,0.21991226,0.034496114,0.9749094,-0.0009753557,-0.010136076,-0.13194181,-0.22094072,-0.040044304,-1.5455633,1505.064,976.5864,1505.064,724.29175
