Idx,Ratio,Train,Val,Stuff,Name,,,,,R,G,B
1,0.1576,11664,1172,1,wall,,,,,120,120,120
2,0.1072,6046,612,1,building;edifice,,,,,180,120,120
3,0.0878,8265,796,1,sky,,,,,6,230,230
4,0.0621,9336,917,1,floor;flooring,,,,,80,50,50
5,0.048,6678,641,0,tree,,,,,4,200,3
6,0.045,6604,643,1,ceiling,,,,,120,120,80
7,0.0398,4023,408,1,road;route,,,,,140,140,140
8,0.0231,1906,199,0,bed,,,,,204,5,255
9,0.0198,4688,460,0,windowpane;window,,,,,230,230,230
10,0.0183,2423,225,1,grass,,,,,4,250,7
11,0.0181,2874,294,0,cabinet,,,,,224,5,255
12,0.0166,3068,310,1,sidewalk;pavement,,,,,235,255,7
13,0.016,5075,526,0,person;individual;someone;somebody;mortal;soul,,,,,150,5,61
14,0.0151,1804,190,1,earth;ground,,,,,120,120,70
15,0.0118,6666,796,0,door;double;door,,,,,8,255,51
16,0.011,4269,411,0,table,,,,,255,6,82
17,0.0109,1691,160,1,mountain;mount,,,,,143,255,140
18,0.0104,3999,441,0,plant;flora;plant;life,,,,,204,255,4
19,0.0104,2149,217,0,curtain;drape;drapery;mantle;pall,,,,,255,51,7
20,0.0103,3261,318,0,chair,,,,,204,70,3
21,0.0098,3164,306,0,car;auto;automobile;machine;motorcar,,,,,0,102,200
22,0.0074,709,75,1,water,,,,,61,230,250
23,0.0067,3296,315,0,painting;picture,,,,,255,6,51
24,0.0065,1191,106,0,sofa;couch;lounge,,,,,11,102,255
25,0.0061,1516,162,0,shelf,,,,,255,7,71
26,0.006,667,69,1,house,,,,,255,9,224
27,0.0053,651,57,1,sea,,,,,9,7,230
28,0.0052,1847,224,0,mirror,,,,,220,220,220
29,0.0046,1158,128,1,rug;carpet;carpeting,,,,,255,9,92
30,0.0044,480,44,1,field,,,,,112,9,255
31,0.0044,1172,98,0,armchair,,,,,8,255,214
32,0.0044,1292,184,0,seat,,,,,7,255,224
33,0.0033,1386,138,0,fence;fencing,,,,,255,184,6
34,0.0031,698,61,0,desk,,,,,10,255,71
35,0.003,781,73,0,rock;stone,,,,,255,41,10
36,0.0027,380,43,0,wardrobe;closet;press,,,,,7,255,255
37,0.0026,3089,302,0,lamp,,,,,224,255,8
38,0.0024,404,37,0,bathtub;bathing;tub;bath;tub,,,,,102,8,255
39,0.0024,804,99,0,railing;rail,,,,,255,61,6
40,0.0023,1453,153,0,cushion,,,,,255,194,7
41,0.0023,411,37,0,base;pedestal;stand,,,,,255,122,8
42,0.0022,1440,162,0,box,,,,,0,255,20
43,0.0022,800,77,0,column;pillar,,,,,255,8,41
44,0.002,2650,298,0,signboard;sign,,,,,255,5,153
45,0.0019,549,46,0,chest;of;drawers;chest;bureau;dresser,,,,,6,51,255
46,0.0019,367,36,0,counter,,,,,235,12,255
47,0.0018,311,30,1,sand,,,,,160,150,20
48,0.0018,1181,122,0,sink,,,,,0,163,255
49,0.0018,287,23,1,skyscraper,,,,,140,140,140
50,0.0018,468,38,0,fireplace;hearth;open;fireplace,,,,,250,10,15
51,0.0018,402,43,0,refrigerator;icebox,,,,,20,255,0
52,0.0018,130,12,1,grandstand;covered;stand,,,,,31,255,0
53,0.0018,561,64,1,path,,,,,255,31,0
54,0.0017,880,102,0,stairs;steps,,,,,255,224,0
55,0.0017,86,12,1,runway,,,,,153,255,0
56,0.0017,172,11,0,case;display;case;showcase;vitrine,,,,,0,0,255
57,0.0017,198,18,0,pool;table;billiard;table;snooker;table,,,,,255,71,0
58,0.0017,930,109,0,pillow,,,,,0,235,255
59,0.0015,139,18,0,screen;door;screen,,,,,0,173,255
60,0.0015,564,52,1,stairway;staircase,,,,,31,0,255
61,0.0015,320,26,1,river,,,,,11,200,200
62,0.0015,261,29,1,bridge;span,,,,,255,82,0
63,0.0014,275,22,0,bookcase,,,,,0,255,245
64,0.0014,335,60,0,blind;screen,,,,,0,61,255
65,0.0014,792,75,0,coffee;table;cocktail;table,,,,,0,255,112
66,0.0014,395,49,0,toilet;can;commode;crapper;pot;potty;stool;throne,,,,,0,255,133
67,0.0014,1309,138,0,flower,,,,,255,0,0
68,0.0013,1112,113,0,book,,,,,255,163,0
69,0.0013,266,27,1,hill,,,,,255,102,0
70,0.0013,659,66,0,bench,,,,,194,255,0
71,0.0012,331,31,0,countertop,,,,,0,143,255
72,0.0012,531,56,0,stove;kitchen;stove;range;kitchen;range;cooking;stove,,,,,51,255,0
73,0.0012,369,36,0,palm;palm;tree,,,,,0,82,255
74,0.0012,144,9,0,kitchen;island,,,,,0,255,41
75,0.0011,265,29,0,computer;computing;machine;computing;device;data;processor;electronic;computer;information;processing;system,,,,,0,255,173
76,0.001,324,33,0,swivel;chair,,,,,10,0,255
77,0.0009,304,27,0,boat,,,,,173,255,0
78,0.0009,170,20,0,bar,,,,,0,255,153
79,0.0009,68,6,0,arcade;machine,,,,,255,92,0
80,0.0009,65,8,1,hovel;hut;hutch;shack;shanty,,,,,255,0,255
81,0.0009,248,25,0,bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger;vehicle,,,,,255,0,245
82,0.0008,492,49,0,towel,,,,,255,0,102
83,0.0008,2510,269,0,light;light;source,,,,,255,173,0
84,0.0008,440,39,0,truck;motortruck,,,,,255,0,20
85,0.0008,147,18,1,tower,,,,,255,184,184
86,0.0008,583,56,0,chandelier;pendant;pendent,,,,,0,31,255
87,0.0007,533,61,0,awning;sunshade;sunblind,,,,,0,255,61
88,0.0007,1989,239,0,streetlight;street;lamp,,,,,0,71,255
89,0.0007,71,5,0,booth;cubicle;stall;kiosk,,,,,255,0,204
90,0.0007,618,53,0,television;television;receiver;television;set;tv;tv;set;idiot;box;boob;tube;telly;goggle;box,,,,,0,255,194
91,0.0007,135,12,0,airplane;aeroplane;plane,,,,,0,255,82
92,0.0007,83,5,1,dirt;track,,,,,0,10,255
93,0.0007,178,17,0,apparel;wearing;apparel;dress;clothes,,,,,0,112,255
94,0.0006,1003,104,0,pole,,,,,51,0,255
95,0.0006,182,12,1,land;ground;soil,,,,,0,194,255
96,0.0006,452,50,0,bannister;banister;balustrade;balusters;handrail,,,,,0,122,255
97,0.0006,42,6,1,escalator;moving;staircase;moving;stairway,,,,,0,255,163
98,0.0006,307,31,0,ottoman;pouf;pouffe;puff;hassock,,,,,255,153,0
99,0.0006,965,114,0,bottle,,,,,0,255,10
100,0.0006,117,13,0,buffet;counter;sideboard,,,,,255,112,0
101,0.0006,354,35,0,poster;posting;placard;notice;bill;card,,,,,143,255,0
102,0.0006,108,9,1,stage,,,,,82,0,255
103,0.0006,557,55,0,van,,,,,163,255,0
104,0.0006,52,4,0,ship,,,,,255,235,0
105,0.0005,99,5,0,fountain,,,,,8,184,170
106,0.0005,57,4,1,conveyer;belt;conveyor;belt;conveyer;conveyor;transporter,,,,,133,0,255
107,0.0005,292,31,0,canopy,,,,,0,255,92
108,0.0005,77,9,0,washer;automatic;washer;washing;machine,,,,,184,0,255
109,0.0005,340,38,0,plaything;toy,,,,,255,0,31
110,0.0005,66,3,1,swimming;pool;swimming;bath;natatorium,,,,,0,184,255
111,0.0005,465,49,0,stool,,,,,0,214,255
112,0.0005,50,4,0,barrel;cask,,,,,255,0,112
113,0.0005,622,75,0,basket;handbasket,,,,,92,255,0
114,0.0005,80,9,1,waterfall;falls,,,,,0,224,255
115,0.0005,59,3,0,tent;collapsible;shelter,,,,,112,224,255
116,0.0005,531,72,0,bag,,,,,70,184,160
117,0.0005,282,30,0,minibike;motorbike,,,,,163,0,255
118,0.0005,73,7,0,cradle,,,,,153,0,255
119,0.0005,435,44,0,oven,,,,,71,255,0
120,0.0005,136,25,0,ball,,,,,255,0,163
121,0.0005,116,24,0,food;solid;food,,,,,255,204,0
122,0.0004,266,31,0,step;stair,,,,,255,0,143
123,0.0004,58,12,0,tank;storage;tank,,,,,0,255,235
124,0.0004,418,83,0,trade;name;brand;name;brand;marque,,,,,133,255,0
125,0.0004,319,43,0,microwave;microwave;oven,,,,,255,0,235
126,0.0004,1193,139,0,pot;flowerpot,,,,,245,0,255
127,0.0004,97,23,0,animal;animate;being;beast;brute;creature;fauna,,,,,255,0,122
128,0.0004,347,36,0,bicycle;bike;wheel;cycle,,,,,255,245,0
129,0.0004,52,5,1,lake,,,,,10,190,212
130,0.0004,246,22,0,dishwasher;dish;washer;dishwashing;machine,,,,,214,255,0
131,0.0004,108,13,0,screen;silver;screen;projection;screen,,,,,0,204,255
132,0.0004,201,30,0,blanket;cover,,,,,20,0,255
133,0.0004,285,21,0,sculpture,,,,,255,255,0
134,0.0004,268,27,0,hood;exhaust;hood,,,,,0,153,255
135,0.0003,1020,108,0,sconce,,,,,0,41,255
136,0.0003,1282,122,0,vase,,,,,0,255,204
137,0.0003,528,65,0,traffic;light;traffic;signal;stoplight,,,,,41,0,255
138,0.0003,453,57,0,tray,,,,,41,255,0
139,0.0003,671,100,0,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,,,,,173,0,255
140,0.0003,397,44,0,fan,,,,,0,245,255
141,0.0003,92,8,1,pier;wharf;wharfage;dock,,,,,71,0,255
142,0.0003,228,18,0,crt;screen,,,,,122,0,255
143,0.0003,570,59,0,plate,,,,,0,255,184
144,0.0003,217,22,0,monitor;monitoring;device,,,,,0,92,255
145,0.0003,206,19,0,bulletin;board;notice;board,,,,,184,255,0
146,0.0003,130,14,0,shower,,,,,0,133,255
147,0.0003,178,28,0,radiator,,,,,255,214,0
148,0.0002,504,57,0,glass;drinking;glass,,,,,25,194,194
149,0.0002,775,96,0,clock,,,,,102,255,0
150,0.0002,421,56,0,flag,,,,,92,0,255
